iata_code,name,type,iso_country,municipality,latitude,longitude
YHG,Charlottetown Airport,small_airport,CA,Charlottetown,52.765774, -56.11237
YFX,St. Lewis (Fox Harbour) Airport,small_airport,CA,St. Lewis,52.372799, -55.673901
YHA,Port Hope Simpson Airport,small_airport,CA,Port Hope Simpson,52.528099060058594, -56.28609848022461
YRG,Rigolet Airport,small_airport,CA,Rigolet,54.1796989440918, -58.45750045776367
DVK,Diavik Airport,small_airport,CA,Diavik,64.5113983154, -110.289001465
JOJ,Doris Lake,small_airport,CA,Hope Bay,68.1252746582, -106.585281372
ZFW,Fairview Airport,small_airport,CA,Fairview,56.081401825, -118.434997559
YJP,Jasper-Hinton Airport,small_airport,CA,Hinton,53.319199, -117.752998
YLE,Whatì Airport,small_airport,CA,Whatì,63.13169860839844, -117.24600219726562
YDC,Drayton Valley Industrial Airport,small_airport,CA,Drayton Valley,53.265800476074, -114.95999908447
NML,Fort McMurray / Mildred Lake Airport,small_airport,CA,Fort McMurray,57.0555992126, -111.573997498
CFM,Conklin (Leismer) Airport,small_airport,CA,Conklin,55.695301, -111.278999
ZSP,St. Paul Airport,small_airport,CA,St. Paul,53.9933013916, -111.379997253
KWD,Kavadja Airport,small_airport,CF,Kavadja,7.964938, 23.526018
GSL,Taltheilei Narrows Airport,small_airport,CA,Taltheilei Narrows,62.5980987549, -111.542999268
XMP,Macmillan Pass Airport,small_airport,CA,Macmillan Pass,63.181098938, -130.20199585
DAS,Great Bear Lake Airport,small_airport,CA,Great Bear Lake,66.7031021118, -119.707000732
YFI,Fort Mackay / Firebag,small_airport,CA,Suncor Energy Site,57.275833, -110.976666
YFJ,Wekweètì Airport,small_airport,CA,Wekweètì,64.190804, -114.077002
YOE,Donnelly Airport,small_airport,CA,Donnelly,55.7094, -117.094002
TIL,Cheadle Airport,small_airport,CA,Cheadle,51.057498931885, -113.62400054932
OKG,Okoyo Airport,small_airport,CG,Okoyo,-1.4483300447464, 15.073300361633
CGA,Craig Seaplane Base,seaplane_base,US,Craig,55.47880172729492, -133.1479949951172
CGC,Cape Gloucester Airport,small_airport,PG,Cape Gloucester,-5.458965, 148.432417
CGG,Casiguran Airport,small_airport,PH,Casiguran,16.1941, 122.0651
GHK,Gahcho Kue,small_airport,CA,,63.435198, -109.144812
CHP,Circle Hot Springs Airport,small_airport,US,Circle Hot Springs,65.485496521, -144.610992432
CIV,Chomley Seaplane Base,seaplane_base,US,Chomley,55.217, -132.21
LRQ,Laurie River Airport,small_airport,CA,Laurie River,56.2486000061, -101.304000854
YDJ,Hatchet Lake Airport,small_airport,CA,Hatchet Lake,58.662498474121, -103.53800201416
YDU,Kasba Lake Airport,small_airport,CA,Kasba Lake,60.291900634766, -102.50199890137
YFL,Fort Reliance Seaplane Base,seaplane_base,CA,Fort Reliance,62.7, -109.167
XCL,Cluff Lake Airport,small_airport,CA,Cluff Lake,58.3911018372, -109.51599884
YKE,Knee Lake Airport,small_airport,CA,Knee Lake,54.915298, -94.798103
SUR,Summer Beaver Airport,small_airport,CA,Summer Beaver,52.70859909057617, -88.54190063476562
CKD,Crooked Creek Airport,small_airport,US,Crooked Creek,61.8679008484, -158.134994507
YTT,Tisdale Airport,small_airport,CA,Tisdale,52.836700439453, -104.06700134277
YAX,Wapekeka Airport,small_airport,CA,Angling Lake,53.84920120239258, -89.57939910888672
WNN,Wunnumin Lake Airport,small_airport,CA,Wunnumin Lake,52.89390182495117, -89.28919982910156
YBS,Opapimiskan Lake Airport,small_airport,CA,Opapimiskan Lake,52.6067008972, -90.3768997192
